item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB6143663810,N/D,Par Disco Freio Dianteiro Gm Tracker 1.2 2020 2021 2022 2023,N/D,N/D,SEM_MATCH_SECONDS,1503.61,3,3.0
MLB6143754498,N/D,Par Disco Freio Traseiro Renault Megane 2.0 16v 2006/2009,N/D,N/D,SEM_MATCH_SECONDS,1421.9299999999998,3,3.0
MLB4249797695,N/D,Par Disco Freio Dianteiro Pt Cruiser 2001 A 2010 2.0 2.4 16v,N/D,N/D,SEM_MATCH_SECONDS,1418.59,3,3.0
MLB6087179454,N/D,"Jogo Pistao C/ Aneis Gol G5 G6 Voyage Fox 1.0 8v 2008 A 2016 0,50mm",N/D,N/D,SEM_MATCH_SECONDS,1417.94,3,3.0
MLB5416245032,N/D,Par Disco Freio Traseiro Renault Master 2.3 2013 A 2018,MDS,Disco de Freios,SEM_MATCH_SECONDS,1305.93,3,3.0
MLB6505840046,N/D,Reservatório De Água 206 207 1.4 1.6 16v Com Tampa,N/D,N/D,SEM_MATCH_SECONDS,1179.39,12,12.0
MLB5752064294,N/D,Engate Reboque Fixo Captiva 2008 A 2015,N/D,N/D,SEM_MATCH_SECONDS,1175.24,2,2.0
MLB4480143025,N/D,Kit Valvula Admissao E Escape Clio Sandero Logan 1.0 16v D4d,N/D,N/D,SEM_MATCH_SECONDS,1165.95,3,3.0
MLB6263822942,VADCH27 - VESCH27,Kit Válvula Admissão (12) E Escape (12) Dodge 2.7 Journey V6,Takao,Válvulas,PARAMETRO_NAO_CONFIAVEL,1118.4,1,1.0
MLB4381396847,N/D,Jogo Pistao Com Aneis Palio 1.0 8v Fiasa 1996 A 2001 Takao Std,N/D,N/D,SEM_MATCH_SECONDS,1093.88,2,2.0
MLB6611130078,131545PK30,Junta Cabeçote Sob Medida 3mm Fiesta Ka 1.0 8v Zetec Rocam,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,1049.08,12,12.0
MLB4604567493,N/D,Junta Superior Cabeçote Apolo Gol Logus Mi Ap 1.6 1.8,N/D,N/D,SEM_MATCH_SECONDS,1014.5500000000001,10,10.0
MLB4506609417,T-152,Polia Do Virabrequim C/damper - Hilux 3.0 - T-152,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,1009.57,1,1.0
